b,di,qi_mult,well_cost,uptime,wti,aeco,eur,npv,payout_m,irr
1.0950308738100132,1.9565699745323706,0.7962972378183419,10.944593875568314,0.8555731130861027,71.86647658663045,2.419865561351454,1198706.6700235005,14.51417050514002,13.0,1.1190960384444346
1.3612047385548995,2.213139623578727,0.6109945025613451,11.898603364999817,0.9629235361517101,75.85214041516657,2.5509955050436792,1103872.8077641297,14.718275721983733,16.0,0.8019398283197208
1.2662689873900324,2.51179308687701,0.6419568458257501,15.82408289746639,0.9373691844831086,86.12797105528139,3.443509527517088,1028612.1483004638,14.185339676437607,19.0,0.5915274198258889
1.0334609708774964,2.008932659134323,0.8016015192037559,16.968108982593634,0.953522417135081,99.49760896139534,2.4822564937726233,1121207.8317786993,21.550319005524877,12.0,1.1480054265603277
0.6033166724064802,1.9679142714081785,1.3563218329941429,15.003253044742621,0.9793808680522331,80.300278071187,2.5678456165005126,1101672.4812865586,22.51847704543479,6.0,4.128190316913471
1.141275486930093,1.8569852215540639,1.041620754708562,11.034958581843558,0.7665713371314815,84.01028473983474,3.6524779769924134,1673447.7728212911,27.74680076305653,7.0,3.425384057074754
1.149804662045713,1.3231699656555236,1.0075859616766325,13.918848379218103,0.9926705609065202,94.91844653476603,4.326934519616351,1881904.023752496,49.50671113311096,6.0,5.784352985076476
1.0648659381848466,2.1079233287842696,1.0261085103195193,16.65626556608988,0.9189338392242686,70.49249598858674,2.720895410055514,1452378.1521167017,17.172657160798984,15.0,0.8273699005593081
1.0642916405330853,2.4669543692466283,1.3631891483718073,12.501424490320694,0.8673156019214399,67.79749710792396,2.9459792983618702,1806383.7028921393,25.91098479015863,7.0,3.294448895118157
0.9616684471115087,2.1368281473518063,1.2401314329911968,12.385001165452543,0.9125113230289523,99.97416331458714,3.698444082955785,1559135.1719177477,42.269228418957624,4.0,
1.1117467698580898,2.3629193056565154,1.4890720845901233,13.1417097716734,0.991712626354784,99.67240165783929,3.6504985345645737,2109954.186735886,62.93475999078558,4.0,
0.983742865103645,1.4700005293479697,1.2735486278180341,15.214671300888666,0.8739541871838734,60.94254571282491,3.74675258414651,1956459.6788580103,24.057868664037258,11.0,1.4618435384192445
1.3276514462323714,2.553431860358339,0.7189593071148317,10.847025600861588,0.9968934058615928,90.08816602663636,3.7199397973880837,1206798.437793467,27.253231794413004,8.0,3.196458284548012
1.095725916949011,2.856539727776616,0.9571251850302421,11.161732196882054,0.991318796760854,90.87604618932735,4.002757844524234,1238601.5562121412,31.41506219493074,5.0,8.452688987389356
